Symbol	Last Sale	Net Change	% Change	Market Cap	Volume					
BATRK	$27.76 	-0.3	-1.07%	1451379578	50185					
BAX	$86.75 	0.15	0.17%	43435156007	1227801					
BBBY	$15.11 	-0.93	-5.80%	1527019274	5152278					
BBCP	$8.26 	0.03	0.37%	467465977	65407					
BBDC	$10.91 	0	0.00%	712598487	109502					
BBIG	$2.53 	-0.12	-4.53%	345302848	10579061					
BBIO	$13.43 	2.05	18.01%	1976790266	41177294					
BBLN	$5.95 	-0.28	-4.49%	2438873822	151971					
BBN	$26.03 	-0.26	-0.99%	1534378202	74266					
BBSI	$70.00 	-0.46	-0.65%	525344680	38347					
BBWI	$68.66 	-1.14	-1.63%	17695256374	1629244					
BBY	$99.52 	0.44	0.44%	23940620569	2147437					
BC	$98.27 	0.72	0.74%	7576157883	499157					
BCAB	$19.46 	0.18	0.93%	716825622	249872					
BCAT	$18.86 	-0.1	-0.53%	2117303925	1157817					
BCC	$69.81 	-0.39	-0.56%	2745683637	155498					
BCO	$66.03 	0.13	0.20%	3245636111	165232					
BCOR	$17.60 	-0.01	-0.06%	857449437	144258					
BCOV	$10.05 	0	0.00%	412963304	158944					
BCPC	$167.64 	1.51	0.91%	5428453268	73219					
BCRX	$13.65 	-0.18	-1.30%	2456128734	1686656					
BCSF	$15.65 	0.03	0.19%	1010399447	143963					
BCX	$9.23 	-0.02	-0.22%	815156625	276760					
BDC	$64.63 	-0.66	-1.01%	2901788569	123577					
BDJ	$9.92 	0.01	0.10%	1845154065	233160					
BDN	$13.57 	-0.02	-0.15%	2322183307	856896					
BDSI	$3.11 	-0.04	-1.27%	307255370	1314466					
BDX	$250.21 	-1.11	-0.44%	71320701608	561793					
BEAM	$78.50 	-1.7	-2.12%	5348660143	399627					
BECN	$56.54 	-0.4	-0.70%	3964186080	190470					
BEN	$34.06 	0.01	0.03%	17091141072	1188189					
BERY	$72.95 	1.34	1.87%	9892020000	501275					
BFAM	$124.71 	0.63	0.51%	7528638692	323564					
BFC	$71.60 	-0.1	-0.14%	546224944	4683					
BFK	$15.35 	-0.02	-0.13%	689812944	34469					
BFS	$52.88 	0.08	0.15%	1253256000	34263					
BFST	$28.60 	0.16	0.56%	583411286	18766					
BFZ	$14.53 	0.03	0.21%	455394654	48183					
BG	$91.73 	0.67	0.74%	12889917854	455952					
BGCP	$4.68 	-0.02	-0.43%	1725700972	1225983					
BGFV	$19.30 	-0.29	-1.48%	430597900	641208					
BGH	$16.74 	-0.08	-0.48%	335876600	79487					
BGRY	$5.08 	-0.29	-5.40%	1166797636	1371870					
BGS	$31.67 	0.09	0.29%	2055285108	460274					
BGT	$14.30 	0.25	1.78%	319753305	63890					
BGY	$6.24 	0	0.00%	650444939	108934					
BH	$142.01 	-4.65	-3.17%	440651350	1571					
BHB	$29.34 	-0.35	-1.18%	439712301	16340					
BHE	$27.08 	0.09	0.33%	953874234	165106					
BHF	$52.84 	-0.01	-0.02%	4217633477	403498					
BHK	$16.83 	-0.04	-0.24%	908122683	95749					
BHLB	$28.67 	-0.05	-0.17%	1395062676	141191					
BHR	$5.03 	-0.09	-1.76%	324450170	465323					
